MarketID,MarketName,EntryDate,CommodityID,CommodityName,ModalPrice,Unit
116,Rongsak,09-02-2021,30,Turmeric(Raw),1200,Quintal
116,Rongsak,09-02-2021,30,Turmeric(Raw),775,Quintal
116,Rongsak,09-02-2021,30,Turmeric(Raw),450,Quintal
118,Williamnagar,09-02-2021,30,Turmeric(Raw),550,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,1400,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,2750,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,3000,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,1800,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,1100,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,3850,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,4500,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,1700,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,2400,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,3500,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,5000,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,3200,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,1400,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,3200,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,4000,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,5800,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,5000,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,1400,Quintal
214,Iewduh(Shillong),09-02-2021,36,Tomato,2500,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,2500,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,3200,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,1800,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,1500,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,3850,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,1700,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,3000,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,4500,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,1850,Quintal
214,Iewduh(Shillong),10-02-2021,36,Tomato,1600,Quintal
